N,P,K,temperature,humidity,ph,rainfall,season,location,label
110.28,8.67,63.73,24.4,87.44,6.56,20.07,Zaid,Punjab,muskmelon
113.59,22.45,54.21,28.05,86.02,5.84,44.33,Zaid,Andhra Pradesh,watermelon
43.76,52.64,23.27,27.33,64.74,7.4,84.29,Kharif,Andhra Pradesh,blackgram
114.52,64.08,67.98,17.42,73.9,6.21,59.82,Rabi,Uttar Pradesh,cauliflower
84.57,40.1,49.09,25.09,83.39,6.21,243.46,Kharif,Tamil Nadu,rice
18.35,62.37,23.35,14.64,61.0,6.85,61.05,Rabi,Uttar Pradesh,lentil
27.85,44.15,28.94,22.53,18.78,5.95,127.38,Kharif,West Bengal,kidneybeans
52.99,38.94,41.77,24.52,74.91,6.25,69.97,Kharif,Tamil Nadu,fingermillet
37.18,28.45,63.89,25.08,77.96,5.32,267.45,Annual,Tamil Nadu,cardamom
20.57,60.94,48.34,22.36,52.95,6.01,63.07,Rabi,Kerala,peas
97.38,52.52,53.69,22.33,49.33,5.52,70.69,Kharif,West Bengal,brinjal
42.47,30.44,50.93,23.31,73.0,5.55,184.51,Annual,Kerala,blackpepper
30.91,21.26,13.08,23.26,43.15,6.81,28.89,Rabi,Madhya Pradesh,fenugreek
94.15,21.11,61.06,22.79,86.1,4.61,224.67,Annual,West Bengal,tea
145.9,31.29,12.45,25.53,77.65,6.98,108.59,Kharif,Maharashtra,cotton
64.57,19.3,35.14,24.39,52.62,5.53,54.42,Kharif,Tamil Nadu,fingermillet
56.29,40.27,105.61,26.25,82.3,6.07,123.16,Kharif,Karnataka,turmeric
55.03,11.52,16.28,19.9,66.67,5.74,76.09,Kharif,Karnataka,fingermillet
87.7,41.57,22.17,27.24,83.85,7.24,101.22,Kharif,Karnataka,cotton
15.39,34.2,51.47,19.08,79.19,5.94,209.6,Annual,Madhya Pradesh,blackpepper
38.32,19.61,21.17,31.44,43.55,6.28,64.42,Kharif,Karnataka,sesame
17.66,74.09,26.95,16.92,22.98,6.39,142.81,Kharif,Uttar Pradesh,kidneybeans
24.26,34.7,21.85,20.05,46.58,6.62,33.49,Rabi,Uttar Pradesh,fenugreek
33.5,42.06,52.24,21.73,82.76,5.57,258.03,Annual,Tamil Nadu,cardamom
92.38,43.11,26.17,25.97,49.65,6.34,155.66,Annual,West Bengal,coffee
95.16,51.42,59.55,15.69,42.18,5.86,34.3,Rabi,Uttar Pradesh,garlic
59.3,43.78,37.9,28.92,49.95,6.89,54.83,Kharif,Maharashtra,sorghum
81.76,62.96,67.72,28.24,66.47,6.12,61.75,Kharif,Uttar Pradesh,brinjal
27.76,23.08,21.51,25.45,51.17,5.67,40.32,Kharif,Madhya Pradesh,sesame
34.62,64.55,61.02,22.82,28.65,7.66,104.24,Rabi,Uttar Pradesh,chickpea
19.05,45.02,0.0,27.02,78.23,6.81,52.29,Kharif,West Bengal,mungbean
73.39,36.05,46.43,23.82,81.97,6.13,243.5,Kharif,Tamil Nadu,rice
55.52,36.15,29.07,23.33,45.34,5.54,96.57,Kharif,Karnataka,fingermillet
93.59,36.6,64.48,19.63,75.94,6.06,61.0,Rabi,Madhya Pradesh,onion
72.72,42.6,41.02,25.24,87.67,6.06,244.08,Kharif,Tamil Nadu,rice
32.19,150.0,196.89,25.04,86.99,5.32,63.3,Annual,Karnataka,grapes
68.44,44.01,96.1,23.07,85.98,6.12,189.8,Kharif,Kerala,ginger
17.43,48.32,19.83,26.01,54.29,6.93,44.37,Kharif,Maharashtra,mothbeans
31.3,42.17,21.79,16.49,57.2,6.13,44.67,Rabi,Madhya Pradesh,coriander
83.96,55.65,33.96,28.49,63.27,6.89,89.65,Kharif,Karnataka,okra
28.74,61.19,22.61,21.46,53.13,6.53,45.81,Rabi,Andhra Pradesh,lentil
20.36,37.37,21.02,31.07,59.52,5.85,87.62,Annual,Maharashtra,mango
55.86,28.07,21.91,21.15,67.79,6.26,79.02,Kharif,Tamil Nadu,fingermillet
12.19,56.19,8.51,35.12,51.05,6.04,109.79,Kharif,Maharashtra,pigeonpeas
42.5,69.98,22.45,22.93,68.91,6.29,59.83,Kharif,Maharashtra,soybean
49.44,62.52,25.64,23.36,74.95,7.22,185.54,Kharif,Madhya Pradesh,jute
114.76,35.49,61.11,27.58,57.3,6.11,64.87,Kharif,Uttar Pradesh,brinjal
15.26,27.61,76.27,27.93,84.54,6.24,273.25,Annual,Karnataka,cardamom
114.38,11.19,64.01,22.89,87.28,6.39,56.78,Zaid,Uttar Pradesh,watermelon
61.34,51.83,40.96,23.57,78.3,6.54,168.88,Kharif,Kerala,jute
144.39,63.39,58.75,17.27,69.95,5.95,63.0,Rabi,West Bengal,cabbage
33.65,57.48,35.11,23.25,55.46,6.72,44.03,Kharif,Andhra Pradesh,groundnut
16.61,122.95,172.15,25.16,88.71,5.59,85.33,Annual,Maharashtra,grapes
41.56,59.7,20.86,27.21,63.43,8.41,72.73,Kharif,Tamil Nadu,blackgram
99.87,81.42,41.68,23.32,71.67,5.59,119.69,Annual,Maharashtra,banana
81.02,39.72,21.55,32.83,58.81,6.31,111.71,Kharif,Andhra Pradesh,maize
31.38,75.29,66.66,23.34,24.12,7.41,71.48,Rabi,Punjab,chickpea
107.65,84.11,112.07,17.42,72.82,5.47,72.13,Rabi,Maharashtra,potato
82.68,53.83,30.55,31.69,64.78,6.31,50.05,Zaid,Karnataka,cucumber
59.76,40.19,14.32,22.76,58.22,5.88,34.52,Rabi,Andhra Pradesh,coriander
23.13,17.29,42.42,27.33,93.19,5.77,223.57,Annual,Telangana,blackpepper
76.42,56.58,77.87,23.86,81.9,5.21,178.91,Kharif,Kerala,ginger
77.26,43.57,40.38,26.94,59.5,6.88,46.03,Zaid,Madhya Pradesh,cucumber
86.55,38.02,37.9,22.62,47.42,6.1,17.01,Rabi,Uttar Pradesh,mustard
108.69,36.74,12.94,23.51,84.57,6.47,98.03,Kharif,Punjab,cotton
9.89,11.8,36.53,25.4,94.91,6.13,144.78,Annual,Uttar Pradesh,coconut
74.16,46.22,46.2,25.21,82.46,6.54,184.36,Kharif,West Bengal,jute
115.98,67.0,67.19,21.22,65.59,6.44,41.31,Rabi,Uttar Pradesh,cauliflower
21.64,26.68,2.95,16.74,99.15,6.03,103.78,Annual,Telangana,orange
34.74,28.68,15.66,17.52,64.38,6.15,64.21,Rabi,Madhya Pradesh,coriander
124.46,52.1,6.66,22.12,84.74,6.63,47.45,Kharif,Punjab,cotton
114.36,71.16,61.29,17.45,55.3,5.26,43.36,Rabi,Kerala,cauliflower
81.06,61.2,39.59,22.98,51.76,6.52,49.67,Kharif,Maharashtra,tomato
16.55,33.11,32.44,32.54,43.47,5.61,79.61,Annual,West Bengal,mango
6.27,51.89,23.34,22.99,22.89,6.08,105.35,Kharif,Uttar Pradesh,kidneybeans
31.87,59.24,41.05,26.91,62.83,6.66,107.28,Kharif,Maharashtra,soybean
110.62,60.51,27.22,19.43,49.55,6.25,85.26,Rabi,Madhya Pradesh,wheat
16.95,66.76,21.12,25.65,65.07,7.45,36.03,Rabi,Tamil Nadu,lentil
50.81,81.19,10.61,21.44,64.42,7.66,93.87,Kharif,Uttar Pradesh,blackgram
58.23,30.4,30.01,25.2,56.02,6.76,70.29,Kharif,Karnataka,sorghum
43.66,54.69,53.34,31.0,91.58,6.44,114.86,Annual,Karnataka,papaya
7.64,132.77,196.13,25.29,94.58,5.91,122.01,Rabi,West Bengal,apple
104.64,34.27,41.38,19.95,88.79,4.37,197.41,Annual,Punjab,tea
100.2,73.33,76.12,21.82,61.75,7.45,51.71,Kharif,West Bengal,tomato
12.95,72.62,27.09,23.06,54.71,5.53,150.5,Kharif,Madhya Pradesh,pigeonpeas
101.57,1.69,58.04,22.92,78.88,6.83,58.39,Zaid,Andhra Pradesh,watermelon
66.38,25.66,61.54,19.3,58.01,6.91,34.93,Rabi,Andhra Pradesh,onion
31.68,51.58,60.44,27.05,67.25,6.46,98.18,Kharif,Punjab,groundnut
37.02,32.55,70.45,19.33,92.17,6.43,277.35,Annual,Madhya Pradesh,cardamom
68.3,66.05,57.78,24.62,61.62,6.52,56.18,Kharif,Andhra Pradesh,brinjal
115.69,49.58,12.54,30.03,79.49,6.9,66.59,Kharif,Punjab,cotton
37.88,13.08,61.24,23.3,95.36,6.24,121.89,Annual,Andhra Pradesh,pomegranate
